GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,GRANEIS SOLIDOS - EXPORTACAO,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
OSLO VENTURE,HONG KONG,200 10,Long,19/09/2025 18:00:00,4157-2,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,35000,4332-3 2025,434352025,B,16/17,9693185,
BLUE OPAL,LIBERIANA,229 7,Long,22/09/2025 10:00:00,4199-8,ORION OPERACOES PORTUARIAS LTDA,EMB,ACUCAR A GRANEL,75000,4263-1 2025,421992025,B,16/17,9474644,
CETUS HUMPBACK,ILHAS MARSHALL,190 7,Long,27/09/2025 14:24:00,4276-5,ORION OPERACOES PORTUARIAS LTDA,EMB,ACUCAR A GRANEL,41000,4399-- 2025,438012025,B,16/17,9670731,
ARWEN GEMINI,SINGAPURENSE,229 12,Long,28/09/2025 12:30:00,4289-7,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,76020,4524-0 2025,410422025,B,12A - TEAG,9594925,
THERESA GLORY,PANAMENHA,200 12.5,Long,29/09/2025 14:00:00,4311-7,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,60000,4367-1 2025,437252025,B,20/21,9952220,
STAR FAIRFIELD,LIBERIANA,200 10,Long,29/09/2025 15:48:00,4313-3,ALPHAMAR AGÊNCIA MARÍTIMA LTDA.,DESC,FERTILIZANTES,16500,4474-2 2025,443402025,B,SABOO-CODESP,9575230,
KANSU,SINGAPURENSE,180 10,Long,01/10/2025,,AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,EMB,ACUCAR A GRANEL,32000,4558-1 2025,456872025,B,AR.12A - BG/ITA,9860283,
SANTA ANGELINA,LIBERIANA,190 11,Long,01/10/2025,,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,47250,4515-- 2025,451662025,B,ULTRAF - 16/17,9725548,
TAHO EUDAIMONIA,LIBERIANA,228 14,Long,02/10/2025 07:00:00,,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,80940,4333-0 2025,434412025,B,20/21,9919319,
BBG NANNING,HONG KONG,229 12,Long,02/10/2025 10:00:00,,"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",EMB,ACUCAR A GRANEL,75000,4478-8 2025,444892025,B,12A - 20/21,9847205,
CL SHAOYANG,HONG KONG,200 12.1,Long,03/10/2025 07:00:00,,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,60000,4514-4 2025,452262025,B,ULTRAFERTIL,9953341,
GENEVAN TRADER,PANAMENHA,229 14,Long,04/10/2025 07:00:00,,WILLIAMS SERVICOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,75000,4334-6 2025,434442025,B,20/21,9846122,
DESERT MOON,ILHAS MARSHALL,193 12.9,Long,04/10/2025 14:00:00,,BPA AGENCIAMENTOS MARITIMOS LTDA.,EMB,ACUCAR A GRANEL,55000,4562-9 2025,455252025,B,16/17-TEAG,9543770,
SOPHOCLES GRAECIA,CIPRIOTA,229 12.2,Long,08/10/2025 05:00:00,,WAYPOINT AGENCIA MARITIMA LTDA,EMB,ACUCAR A GRANEL,75000,4523-3 2025,443272025,B,AR.12A - BG/ITA,9843730,
